+--------------------------+----+---------+
|           Name           | No |  Status |
|      Jessica Melton      | 14 | Married |
|      Timothy Nguyen      | 10 |  Single |
|      Kristen Burton      | 12 | Married |
|     Edward Armstrong     | 8  | Married |
|     Christopher Dean     | 1  |  Single |
|     Thomas Jennings      | 4  | Married |
|        Tim Ellis         | 1  | Married |
|     Benjamin Hoffman     | 21 | Married |
|     Christina Wilson     | 3  | Married |
|     Bethany Griffin      | 4  | Married |
|      Chelsea Simon       | 9  | Married |
|     Heather Johnson      | 20 |  Single |
|       Mary Hardin        | 1  | Married |
|      Alicia Benson       | 4  |  Single |
|       Debra Fisher       | 1  | Married |
|     Michael Navarro      | 11 | Married |
|      Kathryn James       | 5  |  Single |
|     Michael Mullins      | 20 | Married |
|       Cynthia Hall       | 13 | Married |
|       Kelly Perry        | 8  |  Single |
|     Jonathan Miranda     | 5  | Married |
|      Caleb Merritt       | 3  |  Single |
|     Stephanie Jones      | 5  | Married |
|      Jessica Moyer       | 23 | Married |
|    Charles Alexander     | 12 |  Single |
|      Daniel Harris       | 3  |  Single |
|        Jason Bass        | 15 | Married |
|      Julia Gonzalez      | 4  |  Single |
|      Billy Fleming       | 3  | Married |
|      Ashley Larson       | 13 | Married |
|      Melissa Lewis       | 18 | Married |
|        Ryan Kemp         | 12 | Married |
|       Shane Snyder       | 1  |  Single |
|      Justin Moreno       | 6  | Married |
|     Amanda Anderson      | 19 | Married |
|       Austin Duffy       | 18 |  Single |
|       Joshua Smith       | 7  |  Single |
|     Michelle Morris      | 8  |  Single |
|      Aimee Marquez       | 15 | Married |
|      Donald Howell       | 1  |  Single |
|     William Espinoza     | 2  |  Single |
|      Michael Holmes      | 21 |  Single |
|      Paula Hoffman       | 6  | Married |
|       John Osborne       | 16 | Married |
|     Zachary Williams     | 18 |  Single |
|      Sandra Manning      | 18 |  Single |
|       Brett Bishop       | 7  | Married |
|       Aaron Barnes       | 14 |  Single |
|      Leslie Wright       | 15 | Married |
|       Amanda Hicks       | 7  |  Single |
|      Joshua Torres       | 21 | Married |
|       Tyler White        | 7  |  Single |
|      Hunter Fischer      | 2  | Married |
|       Anthony Boyd       | 4  | Married |
|       Benjamin Le        | 4  | Married |
|     Melissa Campbell     | 17 |  Single |
|       Julia Hughes       | 4  | Married |
|     Jeremy Robinson      | 8  | Married |
|        Ray Smith         | 13 |  Single |
|      Victor Fisher       | 11 | Married |
|    Carolyn Strickland    | 3  | Married |
|      Benjamin Brady      | 4  | Married |
|      Dillon Edwards      | 11 | Married |
|     Annette Wallace      | 14 | Married |
|     Dr. Peter White      | 13 | Married |
|     Monique Pearson      | 22 |  Single |
|        James West        | 18 | Married |
|     Alexandria Young     | 17 | Married |
|      Brandon Dawson      | 15 | Married |
|     Joseph Thompson      | 20 |  Single |
|    Nicholas Mitchell     | 4  |  Single |
|        Tami Cantu        | 23 |  Single |
|       Holly Black        | 10 | Married |
|      Brandon Walsh       | 15 | Married |
|      Tara Hernandez      | 18 |  Single |
|       Holly Moore        | 13 |  Single |
|      Matthew Taylor      | 7  | Married |
|       Debra Sawyer       | 8  | Married |
|    Alexander Johnson     | 20 |  Single |
|       Parker Brown       | 20 | Married |
|      Linda Anderson      | 5  |  Single |
|       David Hunter       | 8  | Married |
|        Kelly Hall        | 16 |  Single |
|       Amber Tucker       | 20 | Married |
|      Kim Cunningham      | 10 | Married |
|     Danielle Newman      | 6  | Married |
|      Jennifer Owens      | 5  | Married |
|      Sally Richard       | 17 | Married |
|      Matthew White       | 9  |  Single |
|    Jennifer Mcdonald     | 6  |  Single |
|     Michael Williams     | 3  |  Single |
|       Katie Mcgee        | 1  | Married |
|      Nicholas Jones      | 23 | Married |
|      Brianna Mosley      | 2  | Married |
|     Kelli Carpenter      | 23 | Married |
|   Mrs. Melissa Jordan    | 19 |  Single |
|      Michelle Munoz      | 12 | Married |
|       Angela Ruiz        | 20 |  Single |
|        Julie Hall        | 22 |  Single |
|       Corey Massey       | 9  | Married |
|      Andrew Austin       | 8  |  Single |
|      Michael Davis       | 16 | Married |
|    Nicholas Mitchell     | 11 |  Single |
|      Ashley Murphy       | 2  |  Single |
|      Jason Reynolds      | 3  |  Single |
|      Matthew White       | 1  |  Single |
|     Katherine Dennis     | 20 | Married |
|       Anna Snyder        | 23 |  Single |
|     Jonathan Johnson     | 7  | Married |
|      Michael Singh       | 7  |  Single |
|       Bruce Miller       | 12 | Married |
|     Mitchell Montes      | 15 | Married |
|       Randall Soto       | 19 | Married |
|      Crystal Carson      | 19 | Married |
|       John Hughes        | 10 | Married |
|       Carol Miller       | 19 | Married |
|     Bethany Johnson      | 4  |  Single |
|      Laura Campbell      | 14 |  Single |
|     Larry Rodriguez      | 2  |  Single |
|      Shannon Miller      | 5  |  Single |
|      David Griffin       | 14 | Married |
|     Gabrielle Berry      | 16 | Married |
|       Amy Anderson       | 18 | Married |
|      Douglas Taylor      | 17 | Married |
|      William Davis       | 15 | Married |
|      Tracy Shelton       | 22 |  Single |
|     William Johnson      | 11 | Married |
|      Jordan Wilcox       | 4  |  Single |
|      Robert Obrien       | 12 |  Single |
|      Gabriela Hicks      | 21 |  Single |
|       Debra Sawyer       | 12 |  Single |
|     Rachel Williams      | 10 |  Single |
|      Gloria Morris       | 5  |  Single |
|    Douglas Alexander     | 3  |  Single |
|      Joshua Harper       | 10 | Married |
|       Judy Knight        | 1  | Married |
|   Mr. Jeffrey Ross DVM   | 22 |  Single |
|       Amanda Howe        | 13 | Married |
|       Gregory Beck       | 12 |  Single |
|       Casey Moreno       | 3  |  Single |
|       Kirk Stewart       | 20 |  Single |
|     Christopher Hill     | 23 | Married |
|      Michael Davila      | 20 | Married |
|       Andrea Diaz        | 8  |  Single |
|       Timothy Reid       | 12 | Married |
|      Michelle Byrd       | 23 |  Single |
|     Russell Phillips     | 21 |  Single |
|       Diana Miller       | 15 | Married |
|      Nicholas Rocha      | 1  | Married |
|     Benjamin Stewart     | 20 | Married |
|      Cheryl Rogers       | 2  |  Single |
|     Monique Johnson      | 3  |  Single |
|        Sean Olsen        | 23 | Married |
|       Paula Hunter       | 6  | Married |
|     Dr. Diana Rogers     | 12 | Married |
|      Paul Erickson       | 6  | Married |
|        John Chan         | 12 | Married |
|       Ruth Zuniga        | 17 |  Single |
|      Brent Swanson       | 18 | Married |
|       Kelly Baird        | 21 | Married |
|       John Mercado       | 16 | Married |
|      Casey Chapman       | 3  | Married |
|     Thomas Sullivan      | 10 | Married |
|      Robert Castro       | 1  |  Single |
|       Alex Thomas        | 4  | Married |
|       Lisa Watkins       | 1  |  Single |
|       Cesar Harris       | 14 |  Single |
|        Grace Mays        | 5  | Married |
|   Mr. Jeffrey Ross DVM   | 4  | Married |
|       Sharon Smith       | 14 |  Single |
|      George Marquez      | 5  | Married |
|        Amy Atkins        | 7  | Married |
|  Mrs. Jennifer Burgess   | 22 | Married |
|       Paula Hunter       | 20 |  Single |
|     Elizabeth Brooks     | 1  | Married |
|       Karen Huynh        | 12 | Married |
|       Ann Johnson        | 10 | Married |
|     Bethany Fleming      | 10 | Married |
|       Brett Bishop       | 19 |  Single |
|      Franklin Evans      | 22 |  Single |
|       Brooke Smith       | 11 |  Single |
|       Brianna Lang       | 7  |  Single |
|        Kevin Dunn        | 20 |  Single |
|         Kim King         | 16 | Married |
|       Holly Moore        | 4  |  Single |
|     Brandon Vasquez      | 20 |  Single |
|    Mrs. Amy Gould MD     | 21 | Married |
|       Kelly Baird        | 8  |  Single |
|        Mary Kelly        | 14 | Married |
|      Richard Davis       | 2  |  Single |
|      Amanda Watson       | 2  | Married |
|      Tina Callahan       | 16 | Married |
|        Corey Hall        | 7  |  Single |
|      Brittany Grant      | 9  | Married |
|    Christopher Miles     | 3  | Married |
|      Franklin Evans      | 13 | Married |
|       Amanda Howe        | 9  |  Single |
|    Brittany Robinson     | 20 | Married |
|     Jonathan Sexton      | 7  | Married |
|     Angela Gonzalez      | 12 |  Single |
|       Cynthia Hall       | 4  |  Single |
|      Allison Weber       | 4  |  Single |
|      Jennifer Ryan       | 17 |  Single |
|       Brianna Lang       | 3  | Married |
|       Debra Sawyer       | 23 | Married |
|       Erica Scott        | 14 | Married |
|      Jerry Williams      | 5  |  Single |
|      Laura Skinner       | 22 | Married |
|        Bruce Cruz        | 23 | Married |
|      Terry Alvarado      | 1  |  Single |
|      Jennifer House      | 12 |  Single |
|      Kelsey Hampton      | 12 | Married |
|     Dr. Brent Taylor     | 2  | Married |
|      Matthew Taylor      | 15 |  Single |
|      Franklin Evans      | 13 |  Single |
|        James West        | 7  |  Single |
|     Joseph Thompson      | 13 |  Single |
|     Shawn Rodriguez      | 19 | Married |
|     Jessica Shelton      | 3  | Married |
|      Jennifer Gross      | 18 |  Single |
|       Emily Howell       | 2  |  Single |
|     Holly Contreras      | 15 |  Single |
|      Kathryn Scott       | 1  | Married |
|      Robert Patton       | 14 |  Single |
|      Erin Mitchell       | 6  | Married |
|        Brian Bell        | 1  | Married |
|      Zachary Davis       | 21 | Married |
|     Daniel Espinoza      | 23 |  Single |
|    Samantha Rodriguez    | 9  |  Single |
|        Don James         | 4  |  Single |
|       Laura Ritter       | 1  |  Single |
|      Laura Campbell      | 15 |  Single |
|       Larry Lopez        | 4  |  Single |
|      Matthew James       | 7  |  Single |
|       Pamela Ellis       | 13 | Married |
|       Eric Harris        | 14 | Married |
|     Alexandria Young     | 9  |  Single |
|      Katherine West      | 20 | Married |
|       Mary Morrow        | 21 | Married |
|      James Escobar       | 17 | Married |
|      Zachary Fowler      | 13 |  Single |
|      Samuel Sanchez      | 3  |  Single |
|        Linda Lane        | 12 |  Single |
|       James Ayala        | 18 |  Single |
|     Michelle Barber      | 6  |  Single |
|        Susan Wood        | 5  |  Single |
|       Lance Bishop       | 18 | Married |
|      Patricia Davis      | 23 | Married |
|       David Noble        | 7  |  Single |
|      Joshua Harper       | 17 | Married |
|         Erin Ray         | 22 | Married |
|     Victoria Barber      | 16 | Married |
|       Rachael Bell       | 3  | Married |
|     Dominique Walker     | 22 |  Single |
|       David Noble        | 23 |  Single |
|      Patricia Burns      | 20 |  Single |
|      Daniel Harris       | 4  | Married |
|      Joseph Harris       | 21 |  Single |
|      Emily Coleman       | 22 |  Single |
|       Daniel Lane        | 18 |  Single |
|       Larry Lopez        | 21 | Married |
|      Danny Hoffman       | 11 |  Single |
|     Cheryl Whitehead     | 20 |  Single |
|       Wesley Scott       | 16 |  Single |
|      April Jacobson      | 1  | Married |
|     Kathleen Gilmore     | 2  |  Single |
|     Sabrina Garrett      | 16 |  Single |
|       Maria Harris       | 6  | Married |
|      Jeffery Flores      | 23 | Married |
|        Eric White        | 19 |  Single |
|    Stephen Nicholson     | 3  | Married |
|       Megan Smith        | 2  | Married |
|        Lisa Best         | 11 |  Single |
|      Julia Gonzalez      | 11 |  Single |
|       Mathew Davis       | 6  |  Single |
|      Stephen Branch      | 22 |  Single |
|       Lori Austin        | 17 |  Single |
|       Justin Neal        | 1  | Married |
|        John Baker        | 11 |  Single |
|       Ashley Chan        | 6  | Married |
|      Destiny Rivera      | 8  | Married |
|       April Fisher       | 21 |  Single |
|      Sergio Coleman      | 1  |  Single |
|       Linda Young        | 19 |  Single |
|      Chase Crawford      | 9  | Married |
|    Benjamin Hernandez    | 18 | Married |
|        Eric Garza        | 22 | Married |
|        Susan Luna        | 7  |  Single |
|     Madison Russell      | 12 |  Single |
|       Alan Coffey        | 22 |  Single |
|       Miranda Ross       | 20 | Married |
|      James Simmons       | 13 | Married |
|     Michael Stevens      | 14 | Married |
|      Cheryl Rogers       | 8  | Married |
|       Wesley Hanna       | 13 | Married |
|        James Chen        | 6  | Married |
|    Mr. Keith Ballard     | 7  |  Single |
|     Roberto Stewart      | 8  | Married |
|      Jeremy Nelson       | 22 |  Single |
|    Jessica Rodriguez     | 23 |  Single |
|    Nicholas Rodriguez    | 22 |  Single |
|      Whitney Jordan      | 12 |  Single |
|      Casey Chapman       | 3  |  Single |
|       Brian Smith        | 11 |  Single |
|   Stephanie Watson PhD   | 20 | Married |
|      Kenneth Butler      | 14 | Married |
|       Cory Trevino       | 17 |  Single |
|     Michael Bradshaw     | 4  |  Single |
|        Kevin Hill        | 17 | Married |
|     Crystal Collins      | 4  | Married |
|      Brianna Patton      | 2  |  Single |
|         Paul Gay         | 5  |  Single |
|       Michael Rose       | 18 |  Single |
|      Michael Willis      | 15 |  Single |
|     Patricia Montoya     | 23 |  Single |
|     Angel Cunningham     | 12 | Married |
|       Amanda Howe        | 15 | Married |
|     Bridget Fletcher     | 4  | Married |
|       Kevin Robles       | 15 |  Single |
|     Margaret Roberts     | 11 | Married |
|      Tony Shepherd       | 15 |  Single |
|        Cody Wells        | 5  |  Single |
|       John Larson        | 9  |  Single |
|        Adam Brown        | 13 | Married |
|      Donald Taylor       | 6  |  Single |
|       Kelly Pierce       | 12 | Married |
|       Erica Wilson       | 16 |  Single |
|      Carlos Fisher       | 23 | Married |
|      Jeffrey Jones       | 16 | Married |
|      Amanda Sutton       | 21 | Married |
|       Jill Pierce        | 15 | Married |
|      Paula Hoffman       | 14 | Married |
|        Eric Smith        | 8  | Married |
|       Gina Walker        | 3  |  Single |
|      Shelley Newton      | 17 | Married |
|      Steven Holden       | 13 |  Single |
|        Mark Olson        | 8  | Married |
|       Rhonda Brown       | 13 |  Single |
|      Alicia Russell      | 14 |  Single |
|        David Lowe        | 8  | Married |
|       Kristin Paul       | 20 |  Single |
|    Stephanie Morales     | 21 |  Single |
|     Zachary Alvarez      | 11 | Married |
|     Larry Rodriguez      | 21 | Married |
|       Lucas Barry        | 10 | Married |
|      Lee Harmon DDS      | 19 | Married |
|     Ronald Bird DDS      | 19 |  Single |
|     Joseph Mccarthy      | 10 |  Single |
|    Mr. Keith Ballard     | 22 | Married |
|     Holly Contreras      | 5  | Married |
|      Julia Gonzalez      | 11 | Married |
|       Thomas Boyd        | 12 |  Single |
|   Christopher Mckenzie   | 17 |  Single |
|      Nicholas Mcgee      | 1  |  Single |
|      Amanda Sexton       | 20 |  Single |
|     Russell Phillips     | 14 | Married |
|       Alan Finley        | 22 | Married |
|     Andrea Wilkinson     | 13 |  Single |
|      Amanda Harrell      | 23 |  Single |
|       Lance Bishop       | 13 |  Single |
|       Jacob Romero       | 19 |  Single |
|        Cody Myers        | 16 |  Single |
|      Dana Wilkinson      | 8  | Married |
|      Shannon Miller      | 8  | Married |
|      Kristina Smith      | 13 |  Single |
|       David Noble        | 23 |  Single |
|      Tracy Oconnell      | 2  |  Single |
|        Amy Cooper        | 8  | Married |
|    Robert Washington     | 21 |  Single |
|    Danielle Shepherd     | 10 |  Single |
|       Wesley Scott       | 12 |  Single |
|    Denise Stanley DDS    | 7  |  Single |
|      Jason Reynolds      | 16 |  Single |
|     Paul Estrada PhD     | 3  |  Single |
|      Tiffany Harris      | 17 | Married |
|      Austin Taylor       | 8  |  Single |
|     Ashley Robinson      | 9  | Married |
|      Katherine West      | 23 |  Single |
|     Mckenzie Chavez      | 3  | Married |
|      Samuel Sanchez      | 17 |  Single |
|      Charles Torres      | 16 | Married |
|       Brendan Webb       | 19 | Married |
|    Lawrence Hernandez    | 6  | Married |
|       Andrew Neal        | 18 |  Single |
|       Charles Chen       | 5  |  Single |
|       Thomas Wall        | 15 |  Single |
|     Andrea Wilkinson     | 22 |  Single |
|     Thomas Jennings      | 18 |  Single |
|      Michele Doyle       | 7  | Married |
|    Stephanie Harrell     | 16 | Married |
|       Kyle Schmitt       | 2  |  Single |
|      Monique Wilson      | 10 |  Single |
|      Charles Wells       | 2  |  Single |
|       Linda Foley        | 2  | Married |
|     Raymond Mullins      | 21 | Married |
|       Sara Krause        | 16 |  Single |
|     Crystal Bradshaw     | 19 |  Single |
|     Christina Garcia     | 6  | Married |
|       George Kelly       | 21 |  Single |
|       Jerry Powers       | 18 | Married |
|      Andrea Garcia       | 21 |  Single |
|      Judith Palmer       | 13 |  Single |
|    Alexander Johnson     | 10 |  Single |
|        David Lowe        | 10 | Married |
|       Daniel Cobb        | 19 | Married |
|       Julie Maddox       | 23 |  Single |
|       Amanda Hicks       | 20 | Married |
|       Jean Hoffman       | 18 | Married |
|       Chad Aguilar       | 1  | Married |
|     Brittany Harris      | 3  |  Single |
|       Jacob Romero       | 15 | Married |
|        Lisa Owens        | 17 |  Single |
|        Erin Ellis        | 20 | Married |
|       Aaron Barnes       | 16 | Married |
|      Jonathan Moore      | 23 | Married |
|      Andrea Garcia       | 2  | Married |
|      Terry Alvarado      | 23 |  Single |
|        Anne Colon        | 21 | Married |
|      Courtney Allen      | 20 |  Single |
|      Robert Lambert      | 11 |  Single |
|       Donald Nunez       | 22 | Married |
|        Mary Hardy        | 14 |  Single |
|     Donald Johnston      | 19 | Married |
|     Terrance Duncan      | 9  | Married |
|  Christopher Hardin MD   | 11 | Married |
|       Mason Holmes       | 7  | Married |
|      Michele Bailey      | 10 |  Single |
|      Patricia Cantu      | 14 | Married |
|        David Mata        | 22 | Married |
|       Alan Carter        | 1  | Married |
|      Mandy Schmidt       | 7  |  Single |
|      Jonathan Moore      | 1  |  Single |
|    Stephanie Farrell     | 23 |  Single |
|       Paula Hunter       | 23 |  Single |
|       Glen Hoover        | 8  | Married |
|        Blake Holt        | 12 |  Single |
|       Robin Scott        | 22 |  Single |
|        Terry Liu         | 18 | Married |
|      David Griffin       | 18 |  Single |
|      Kara Holloway       | 1  | Married |
|       Crystal Hill       | 5  | Married |
|       Paul Taylor        | 16 |  Single |
|    Charles Schneider     | 12 | Married |
|    Michelle Callahan     | 3  |  Single |
|      Rebecca Porter      | 2  |  Single |
|     Elizabeth Smith      | 3  |  Single |
|     Jeffrey Mcintosh     | 23 |  Single |
|    Stephanie Stewart     | 17 |  Single |
|       Jason Smith        | 11 | Married |
|      Kevin Hamilton      | 23 | Married |
|    Jessica Alexander     | 15 |  Single |
|       Dillon Lewis       | 12 |  Single |
|     Alexa Patterson      | 15 |  Single |
|       Anthony Wood       | 7  | Married |
|        Amy Atkins        | 22 |  Single |
|    Margaret Williams     | 16 |  Single |
|      Kenneth Thomas      | 8  |  Single |
|       Emily Keller       | 19 | Married |
|      Pedro Cantrell      | 11 | Married |
|       Kevin Huang        | 5  | Married |
|       Mark Bryant        | 8  |  Single |
|      Nathan Harper       | 21 | Married |
|       Cindy Chase        | 8  | Married |
|      Edward Wilson       | 17 |  Single |
|       James Flores       | 1  | Married |
|       Stacy Duncan       | 12 |  Single |
|        Amy Flores        | 7  | Married |
|     Zachary Williams     | 7  | Married |
|       Theresa Dyer       | 16 | Married |
|       Daniel Young       | 15 | Married |
|      Albert Huffman      | 9  | Married |
|      Francisco King      | 3  | Married |
|       Arthur Jones       | 3  | Married |
|      Miguel Bridges      | 6  | Married |
|        Bruce Cruz        | 2  |  Single |
|      Melanie Rubio       | 6  |  Single |
|        Ian Garcia        | 11 |  Single |
|     Mike Mccullough      | 20 |  Single |
|      George Ellison      | 8  |  Single |
|      Tina Callahan       | 18 |  Single |
|     Jennifer Jensen      | 5  | Married |
|        John Hill         | 14 |  Single |
|   Michelle Molina PhD    | 18 |  Single |
|       Douglas King       | 7  |  Single |
|    Natasha Taylor MD     | 13 |  Single |
|       Jessica Rios       | 11 |  Single |
|    Charles Schneider     | 18 |  Single |
|      Tanya Roberts       | 4  |  Single |
|      Nicholas Green      | 13 |  Single |
|     Mitchell Montes      | 23 | Married |
|     Desiree Hartman      | 14 | Married |
|      Kenneth Davis       | 7  |  Single |
|      Denise Carter       | 10 | Married |
|        John Allen        | 19 |  Single |
|    Matthew Alexander     | 4  | Married |
|     Trevor Zimmerman     | 17 |  Single |
|       Daniel Smith       | 7  |  Single |
|       Miranda Ross       | 15 |  Single |
|       Zachary Rich       | 14 |  Single |
|     Samantha Carney      | 14 | Married |
|  Mrs. Kimberly Sullivan  | 2  |  Single |
|       Kevin Rocha        | 6  | Married |
|       Jacob Romero       | 12 |  Single |
|     Heather Lambert      | 21 | Married |
|    Samantha Rodriguez    | 20 | Married |
|       Louis Jones        | 20 |  Single |
|       Shane Snyder       | 23 |  Single |
|    Ashley Curtis DVM     | 8  |  Single |
|       Shane Snyder       | 6  | Married |
|    Michelle Ferguson     | 14 | Married |
|       Holly Heath        | 7  | Married |
|       Linda Foley        | 12 |  Single |
|     Steven Marshall      | 8  | Married |
|      Ashley Hammond      | 16 | Married |
|       Bailey Welch       | 23 |  Single |
|     Michael Mullins      | 14 | Married |
|    Michelle Ferguson     | 13 | Married |
|   Katherine Blackwell    | 10 |  Single |
|      Nicole Taylor       | 3  | Married |
|        Erin Colon        | 23 | Married |
|       Nathan Pratt       | 2  |  Single |
|      Benjamin Riley      | 19 |  Single |
|      William Obrien      | 7  |  Single |
|     Adrienne Mosley      | 12 |  Single |
|     Richard Williams     | 3  | Married |
|      Darlene Horton      | 21 |  Single |
|      Andrew Willis       | 6  |  Single |
|      Sandra Manning      | 14 |  Single |
|   Alexander Hernandez    | 4  |  Single |
|     Robert Thompson      | 19 | Married |
|      Katherine Love      | 8  |  Single |
|      Monica Nelson       | 20 | Married |
|      Donna Blevins       | 16 | Married |
|     Timothy Garrett      | 13 |  Single |
|     Danny Rodriguez      | 3  | Married |
|      Kimberly Green      | 18 | Married |
|    Alexander Johnson     | 2  | Married |
|       Ryan Walker        | 23 | Married |
|        Terry Liu         | 1  |  Single |
|       Brian Evans        | 4  |  Single |
|     Gabrielle Berry      | 23 |  Single |
|        Amy Davis         | 19 | Married |
|      Jessica Melton      | 4  | Married |
|    Benjamin Hernandez    | 9  |  Single |
|       Ruth Medina        | 15 | Married |
|    Rebecca Williamson    | 17 | Married |
|     Justin Bautista      | 7  | Married |
|    Elizabeth Williams    | 7  | Married |
|     Jonathan Molina      | 16 |  Single |
|  Christopher Gillespie   | 18 | Married |
|       Briana Olson       | 17 |  Single |
|       Jillian Lee        | 12 |  Single |
|      Steven Porter       | 3  |  Single |
|      Stephanie Rose      | 4  | Married |
|     Victoria Dodson      | 2  |  Single |
|     Alexis Richmond      | 12 |  Single |
|  Miss Jacqueline Powell  | 19 |  Single |
|     Phillip Simmons      | 5  |  Single |
|      Marie Nichols       | 21 |  Single |
|      Beverly Mooney      | 18 |  Single |
|      Leslie Wright       | 19 | Married |
|     Stephanie Walker     | 18 |  Single |
|     Brenda Rodriguez     | 21 | Married |
|     Bridget Fletcher     | 11 |  Single |
|      Monica Thomas       | 15 |  Single |
|    Robert Washington     | 19 | Married |
|       Sean Harris        | 3  |  Single |
|      Connor Tucker       | 6  |  Single |
|     Dr. Diana Rogers     | 5  | Married |
|       Dana Branch        | 20 | Married |
|      Renee Carrillo      | 21 |  Single |
|     Jacqueline Davis     | 19 |  Single |
|       Justin Neal        | 23 | Married |
|        Erin Ellis        | 2  | Married |
|       Stacy Cooper       | 5  | Married |
|    Alexandra Schmidt     | 16 |  Single |
|      Patrick Gibson      | 5  |  Single |
|      Joshua Alvarez      | 19 | Married |
|     Ricardo Castillo     | 21 |  Single |
|        Kevin Rice        | 14 | Married |
|      Lauren Mendoza      | 17 | Married |
|     Christopher Mays     | 1  |  Single |
|       Jerome Singh       | 3  |  Single |
|      Tracy Johnson       | 18 | Married |
|     Angela Davenport     | 6  |  Single |
|       Steven Estes       | 19 |  Single |
|    Lawrence Hernandez    | 5  | Married |
|    Natasha Taylor MD     | 12 | Married |
|      Angela Flores       | 6  |  Single |
|        Kelly Hall        | 9  |  Single |
|       Andrea Diaz        | 4  | Married |
|        Bill Lamb         | 18 | Married |
|       John Bailey        | 15 |  Single |
|      Robert Fowler       | 15 |  Single |
|      Daniel Thomas       | 8  |  Single |
|       Patrick Kerr       | 18 | Married |
|      Angela Gamble       | 19 |  Single |
|     Rebecca Holland      | 1  | Married |
|        Mary Wood         | 3  |  Single |
|      Jessica Barber      | 23 | Married |
|      Sarah Bartlett      | 8  |  Single |
|       Regina Boyer       | 20 | Married |
|    Samantha Rodriguez    | 11 | Married |
|     Matthew Lambert      | 22 | Married |
|     Brandon Pittman      | 5  |  Single |
|     Patricia Montoya     | 22 | Married |
|       Chad Aguilar       | 8  |  Single |
|      Aaron Jenkins       | 21 | Married |
|        Lee Duran         | 15 |  Single |
|  Mrs. Sherri Ellison MD  | 20 | Married |
|      Sheryl Johnson      | 18 |  Single |
|    Rebecca Williamson    | 2  |  Single |
|     Christine Jones      | 23 | Married |
|       Randy Jones        | 13 |  Single |
|       David Allen        | 22 |  Single |
|      Bryan Mcdaniel      | 21 | Married |
|    William Hernandez     | 9  | Married |
